ids,msg_datetime,obj_track_id,labels,scores,left_coords,upper_coords,right_coords,down_coords,created_at
98639d3c-debe-4f66-996b-cab2e595188c,2024-05-24 00:51:34.444709+02,8,person,0.478506,746,404,951,715,
98639d3c-debe-4f66-996b-cab2e526373d,2024-05-24 00:51:34.44471+02,8,person,0.745102,746,405,952,714,
98639d3c-dlhe-4f66-736b-cab2e595188c,2024-05-24 00:51:34.444711+02,8,person,0.958475,746,406,953,713,
83ba18d9-2359-4677-bef4-ff0f3dbdb3d0,2024-05-26 21:25:07.667568+02,1,person,0.6547536849975586,1008,373,1259,712,
de1f77fc-3513-41ff-8911-7ba4830b2f50,2024-05-26 21:25:07.675269+02,1,person,0.6154358386993408,1004,379,1258,714,
51b34796-7857-4651-be90-d9c90b3d9df9,2024-05-26 21:25:07.71569+02,1,person,0.5320643782615662,1014,396,1233,719,
8599aaff-ac26-4587-95fc-b07405e4be28,2024-05-26 21:25:07.74735+02,1,person,0.5372171998023987,1016,406,1234,720,
f393069a-d13d-4a40-ad63-d87e72dea034,2024-05-26 21:25:07.903641+02,1,person,0.5372171998023987,1016,406,1234,720,
4d70d42f-3b77-4986-9051-7cb674c747ba,2024-05-26 21:25:08.099155+02,1,person,0.5094689726829529,1013,417,1215,719,
41c5fb4f-1cf4-475d-ba9c-e16b89be9c47,2024-05-26 21:25:08.306827+02,1,person,0.6180427074432373,1000,449,1208,717,
7ca735c8-8f18-4d67-9e32-6020912c0307,2024-05-26 21:25:08.685114+02,1,person,0.75696861743927,997,450,1206,717,
ff2ade82-1eb1-413b-aa0d-6654ce69c6c0,2024-05-26 21:25:09.258785+02,1,person,0.7716900110244751,998,450,1206,718,
69d4fd52-8b03-465a-8c19-24e5e8e79c7f,2024-05-26 21:25:09.820055+02,1,person,0.7631036639213562,998,450,1206,717,
f8fc9e56-d2a1-4127-96c0-7c8315a47a23,2024-05-26 21:25:11.359804+02,1,person,0.8107749223709106,998,450,1208,717,
c37745e9-efe8-42e7-9a47-8d9cb3e25e6e,2024-05-26 21:25:11.516446+02,1,person,0.8246111273765564,1000,456,1209,718,
cd632caf-ba58-4132-8fe6-a15b73718958,2024-05-26 21:25:11.525098+02,1,person,0.8356019854545593,999,454,1209,717,
aa4dc459-8a1e-4782-a549-62465822ef64,2024-05-26 21:25:11.532487+02,1,person,0.8328521251678467,1000,454,1210,717,
38889dbd-d794-47fb-8b36-4e2ce2845c91,2024-05-26 21:25:11.616785+02,1,person,0.8338062763214111,1000,454,1208,717,
8806ce59-47e8-43e1-a21d-512c551cdc77,2024-05-26 21:25:11.678335+02,1,person,0.831936240196228,1000,454,1208,717,
0fd49800-a6d8-4a5a-9ad7-b6ec3f340558,2024-05-26 21:25:11.976304+02,1,person,0.8319262266159058,1001,454,1209,717,
31181210-6218-43bd-a9c3-1f11d5d18f53,2024-05-26 21:25:12.090497+02,1,person,0.8359109163284302,1000,455,1209,718,
1def2135-b143-47e6-857b-42184e406df1,2024-05-26 21:25:12.472018+02,1,person,0.829584002494812,1001,456,1208,718,
af4c55c7-ab5c-4c69-a088-e27171a8b678,2024-05-26 21:25:12.531643+02,1,person,0.8189642429351807,1004,457,1209,717,
aaf5d43d-978d-43b5-bd61-627b99a7c840,2024-05-26 21:25:12.841093+02,1,person,0.7932028770446777,1006,461,1209,716,
5249ca34-e2f2-47fe-a057-592963795f77,2024-05-26 21:25:12.951978+02,1,person,0.7931246757507324,1006,461,1210,716,
4b4e7a49-028e-4ba5-bbb7-deee84cd3b50,2024-05-26 21:25:13.17414+02,1,person,0.8154049515724182,1005,459,1211,717,
da907fcc-b301-4dec-a3d5-ec241c64c3b1,2024-05-26 21:25:13.392531+02,1,person,0.8035097122192383,1004,459,1212,716,
3ec5c279-7250-41bb-8b6d-a06a3c59c994,2024-05-26 21:25:13.805153+02,1,person,0.8254409432411194,1005,457,1211,716,
a2eeee3c-83eb-446c-b412-aac203fa0988,2024-05-26 21:25:14.15657+02,1,person,0.7956193685531616,1007,458,1212,716,
e08a8a44-ce3e-4cf5-9593-aee4fe9abc3a,2024-05-26 21:25:14.486154+02,1,person,0.8003327250480652,1007,457,1212,716,
d1c361b0-8401-46a8-a883-56bfd3c31fe5,2024-05-26 21:25:14.650639+02,1,person,0.8165163397789001,1002,459,1209,717,
6c3a70d1-6d3c-449c-9536-10686070162e,2024-05-26 21:25:14.791321+02,1,person,0.7396844625473022,1000,463,1210,717,
35e8ba73-b4c4-4419-a506-78d32e9129ff,2024-05-26 21:25:15.153574+02,1,person,0.7679010033607483,1004,460,1211,717,
722d5acb-ce74-43a5-b791-c5b3405331c9,2024-05-26 21:25:15.423399+02,1,person,0.6650316715240479,1002,463,1226,716,
2b044969-a52a-4617-84c4-c02728264358,2024-05-26 21:25:15.729247+02,1,person,0.6669603586196899,1015,462,1231,717,
4163f697-96b9-467f-9218-7c788ad1c38d,2024-05-26 21:25:15.835739+02,1,person,0.6785064935684204,1003,463,1228,716,
5964f23b-81b9-4312-8b56-86117e6471fe,2024-05-26 21:25:15.998548+02,1,person,0.801185131072998,999,459,1232,717,
5256a295-3230-4e12-8f49-ab2ad7adb5d2,2024-05-26 21:25:16.324763+02,1,person,0.796117901802063,1000,460,1241,717,
cd3bd1b3-cf3e-4c60-9d0d-b81ca134d544,2024-05-26 21:25:16.749957+02,1,person,0.7614555358886719,999,462,1227,717,
f6ffabf9-7834-47a1-bf10-ff76b7a7ba8b,2024-05-26 21:25:16.936296+02,1,person,0.5900605916976929,999,471,1212,717,
e016e1f8-5054-4941-924b-203183492489,2024-05-26 21:25:17.232036+02,1,person,0.6977012157440186,1002,468,1189,717,
70168669-9500-4d4a-b5d5-e8e91b99c099,2024-05-26 21:25:17.312757+02,1,person,0.7111798524856567,1001,471,1189,718,
87385005-26db-4436-b06c-4287be9ad037,2024-05-26 21:25:17.525505+02,1,person,0.7020148038864136,1001,471,1189,718,
9f6d98a7-5827-46d1-a233-cc0f01f7b0aa,2024-05-26 21:25:17.759508+02,1,person,0.7329057455062866,1000,462,1189,718,
cf167136-91fa-4e89-9a17-0a0ee0af4c9a,2024-05-26 21:25:17.882025+02,1,person,0.7198779582977295,1019,456,1190,718,
00211a3f-8d8c-4630-a405-3b98e81b10ee,2024-05-26 21:25:18.069104+02,1,person,0.7148629426956177,1022,454,1192,718,
915c71ea-37e5-44b1-880f-ce311bba4992,2024-05-26 21:25:18.216453+02,1,person,0.6925103664398193,1016,460,1187,718,
730c69d8-33ac-401f-9bda-c0fc9003c3ab,2024-05-26 21:25:18.344869+02,1,person,0.7122722864151001,1015,458,1188,718,
a1f248d8-a3b9-4794-9d35-12d19871a011,2024-05-26 21:25:18.521012+02,1,person,0.6875036954879761,1014,483,1188,718,
7d172094-bc3d-4965-a31b-d48c993c1925,2024-05-26 21:25:18.820336+02,1,person,0.7000454068183899,1015,486,1188,719,
d751fd3c-14ba-45b1-b54f-63dbae4f2291,2024-05-26 21:25:19.183149+02,1,person,0.590405285358429,1027,481,1190,718,
7483bbd9-d445-460a-82ae-8d16b706024d,2024-05-26 21:25:19.432721+02,1,person,0.5667774081230164,1037,488,1188,718,
88a94b58-db47-452b-a622-f968d6bf9025,2024-05-26 21:25:19.692593+02,1,person,0.555576503276825,1038,488,1188,717,
3063b1c0-327e-4ac9-bfa1-d38255a5bd97,2024-05-26 21:25:20.018952+02,1,person,0.564537763595581,1031,476,1189,717,
ad151cba-5f3f-4736-a57a-9d5218de45f3,2024-05-26 21:25:20.306758+02,1,person,0.6167981028556824,1024,474,1191,720,
48d7fbcb-d54e-4bd7-a545-a2c68002a176,2024-05-26 21:25:20.554051+02,1,person,0.6508885622024536,1023,470,1191,719,
